Medicine Name,Category Name,Item Type,Opening Stock,Purchase Qty,Closing Quantity,Active Stock,,,
TYNOR THUMB SPICA,GENERAL SURGERY,SPINLT,0,4,2,2,,COUNT,CAT
2 WAY FOLEYS BALLON CATHETER FG-16,GENERAL MEDICINE,PACKET,4,5,4,5,,438,GENERAL SURGERY
A TO Z NS NEW STRIP OF 15 TABLETS,GENERAL MEDICINE,PACKET,1,0,0,1,,107,PED
A TO Z NS STRAWBERRY FLAVOUR BOTTLE OF 15ML DROPS,PED,PACKET,80,905,70,915,,151,ORTH
AAPSON C FIT HINGED KNEE SUPPORT M,ORTH,BOX,0,23,5,18,,1568,GENERAL MEDICINE
AAPSON C FIT WRIST AND THUMB SUPPORT(NEO,ORTH,BOX,1,5,1,5,,117,ENT
AAPSON FINGER COT S,ORTH,PACKET,0,4,0,4,,11,PED SURGERY
AAPSON FINGER EXTENSION SPLINT,ORTH,PACKET,0,0,0,0,,104,OBGY
AAPSON KNEE IMMOBILIZER L,ORTH,PACKET,0,0,0,0,,,
AAPSON KNEE IMMOBILIZER M,ORTH,PACKET,0,0,0,0,,,
AAPSON PELVIC BINDER L,ORTH,STRIP,7,6,2,11,,,
AAPSON PELVIC BINDER XL,ORTH,BOTTLE,3,155,4,154,,,
AAPSON SHOULDER IMMOBILISER REG M,ORTH,BOX,0,1,1,0,,,
AAPSON SHOULDER IMMOBILISER SPL (ELASTIC,ORTH,BOX,0,5,1,4,,,
AAPSON SOFT CERVICAL COLLAR M,ORTH,BOX,0,0,0,0,,,
AAPSON TENNIS ELBOW SUPPORT UNIVERSAL,ORTH,BOX,0,0,0,0,,,
AAPSON WRIST FOREARM SPLINT LEFT/RIGH,ORTH,BOX,0,3,0,3,,2496,
ABDOMINAL BELT,ORTH,BOX,0,2,0,2,,,
ABGEL,GENERAL MEDICINE,BOX,0,0,0,0,,,
ABSOLUT GOLD STRIP OF 10 CAPSULES,GENERAL MEDICINE,BOX,1,1,1,1,,,
ABSOLUT WOMAN CAP,GENERAL MEDICINE,BOX,1,1,0,2,,,
ABSORBENT COTTON 200GM,GENERAL SURGERY,BOX,1,2,0,3,,,
